id,feature,subsystem,description,value,status,implemented,wired,tested,executed,reproducible,completion_percent,evidence,runtime_entrypoint,test_coverage,security_significance,dependencies,missing_work,acceptance_criteria,verification_command,estimated_effort,priority
FT14,Supply conservation ledger,State,Supply conservation ledger,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,pallets/x3-supply-ledger/src/lib.rs:158,pallets/x3-supply-ledger/src/lib.rs:158,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Bound finalization work and run cross-domain conservation properties (H16).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Bound finalization work and run cross-domain conservation properties (H16).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT15,Snapshot backup and restoration,State,Snapshot backup and restoration,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,scripts/snapshot-restore.sh:130,scripts/snapshot-restore.sh:130,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Authenticate snapshot and validate restored finalized state (M04).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Authenticate snapshot and validate restored finalized state (M04).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT16,Atomic rollback state provenance,State,Atomic rollback state provenance,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,pallets/x3-atomic-kernel/src/lib.rs:1030,pallets/x3-atomic-kernel/src/lib.rs:1030,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Reject unauthenticated diffs and demonstrate complete rollback (C03).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Reject unauthenticated diffs and demonstrate complete rollback (C03).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT17,Signature primitives and key custody,Crypto,Signature primitives and key custody,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,1,0,0,0,40,node/src/service.rs:323; runtime/src/lib.rs:141,node/src/service.rs:323,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Prove hardware/custody signing and key rotation without dev fallback.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Prove hardware/custody signing and key rotation without dev fallback.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT18,Dependency advisory handling,Crypto,Dependency advisory handling,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,.cargo/audit.toml:1; evidence/advisories-unfiltered.json,.cargo/audit.toml:1,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Triage all 53 advisory/package matches against shipped binaries (H15).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Triage all 53 advisory/package matches against shipped binaries (H15).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT19,P2P networking and sync,Networking,P2P networking and sync,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,1,0,0,0,40,node/src/service.rs:881,node/src/service.rs:881,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,"Four-node discovery, catch-up, reconnection and resource-exhaustion tests.","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Four-node discovery, catch-up, reconnection and resource-exhaustion tests.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT20,Bootstrap helper configuration,Networking,Bootstrap helper configuration,Required to make the advertised protocol or operator path dependable.,DISCONNECTED,1,0,0,0,0,20,node/src/network.rs:9,node/src/network.rs:9,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Prove helper configuration is consumed by service; service uses sc_network configuration.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Prove helper configuration is consumed by service; service uses sc_network configuration.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT21,PoH import verification,Networking,PoH import verification,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,0,0,0,0,0,node/src/service.rs:943,node/src/service.rs:943,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Prove all peer import paths validate consistent PoH rules before opting in.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Prove all peer import paths validate consistent PoH rules before opting in.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT22,RPC limiter algorithm (narrow scope),Networking,RPC limiter algorithm (narrow scope),Required to make the advertised protocol or operator path dependable.,VERIFIED,1,1,1,1,1,100,node/src/rpc_middleware.rs:395; evidence/rpc-harness.log,node/src/rpc_middleware.rs:395,Observed passing for scoped behavior,Operational integrity,H18 build closure; relevant finding dependencies,Retain unit evidence; whole-node abuse resistance remains separate.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Retain unit evidence; whole-node abuse resistance remains separate.",cargo test --manifest-path audit-harness/rpc/Cargo.toml,L (ordinal estimate; not a delivery promise),P1
FT23,WASM mini-EVM persistent execution,VM,WASM mini-EVM persistent execution,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,crates/evm-integration/src/mini_evm.rs:102,crates/evm-integration/src/mini_evm.rs:102,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Use actual accounts/state/caller/gas persistence (H07).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Use actual accounts/state/caller/gas persistence (H07).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT24,SVM execution and account context,VM,SVM execution and account context,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,pallets/x3-kernel/src/wasm_adapters.rs:86,pallets/x3-kernel/src/wasm_adapters.rs:86,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,"Pass real account input, slot, blockhash and signer context; prove CPI and persistence.","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Pass real account input, slot, blockhash and signer context; prove CPI and persistence.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT25,X3 VM runtime,VM,X3 VM runtime,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,1,0,0,0,40,pallets/x3-kernel/src/wasm_adapters.rs:182,pallets/x3-kernel/src/wasm_adapters.rs:182,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Prove runtime adapter semantics and differential native/WASM determinism.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Prove runtime adapter semantics and differential native/WASM determinism.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT26,X3 Python parser and typechecker,VM,X3 Python parser and typechecker,Required to make the advertised protocol or operator path dependable.,VERIFIED,1,1,1,1,1,100,x3-lang/cli.py:1; evidence/dsl-tests.log; evidence/dsl-cli.log,x3-lang/cli.py:1,Observed passing for scoped behavior,Safety critical,H18 build closure; relevant finding dependencies,Parsing/typing only: does not prove trade execution.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Parsing/typing only: does not prove trade execution.",/usr/bin/python3 -m pytest x3-lang/tests/test_parser.py x3-lang/tests/test_typechecker.py,L (ordinal estimate; not a delivery promise),P1
FT27,X3 emitter and execution pipeline,VM,X3 emitter and execution pipeline,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,x3-lang/emitter/x3.py:60,x3-lang/emitter/x3.py:60,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Fix four failed emitter tests with authentic proof fixtures (M05).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Fix four failed emitter tests with authentic proof fixtures (M05).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT28,Rust compiler tracks,VM,Rust compiler tracks,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,0,0,0,0,20,crates/x3-compiler/Cargo.toml:1; x3-lang/compiler/src/lib.rs:1,crates/x3-compiler/Cargo.toml:1,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Reconcile separate workspaces and verify bytecode parity against actual VM.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Reconcile separate workspaces and verify bytecode parity against actual VM.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT29,Internal cross-VM representation router,Cross-chain,Internal cross-VM representation router,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,1,0,0,0,40,pallets/x3-cross-vm-router/src/lib.rs:1,pallets/x3-cross-vm-router/src/lib.rs:1,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Run six-route conservation/rollback matrix through full runtime.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Run six-route conservation/rollback matrix through full runtime.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT30,Atomic bundle orchestration / Atomic Lock,Cross-chain,Atomic bundle orchestration / Atomic Lock,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,pallets/x3-atomic-kernel/src/lib.rs:839,pallets/x3-atomic-kernel/src/lib.rs:839,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Close C02/C03 before treating a PoAE hash as proof.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Close C02/C03 before treating a PoAE hash as proof.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT31,Settlement timeout and refund engine,Cross-chain,Settlement timeout and refund engine,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,pallets/x3-settlement-engine/src/lib.rs:1350,pallets/x3-settlement-engine/src/lib.rs:1350,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Authenticate receipt/finality inputs; prove timely refunds under load.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Authenticate receipt/finality inputs; prove timely refunds under load.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT32,External header finality oracle,Cross-chain,External header finality oracle,Required to make the advertised protocol or operator path dependable.,PLACEHOLDER,0,1,0,0,0,20,pallets/cross-chain-validator/src/lib.rs:332,pallets/cross-chain-validator/src/lib.rs:332,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Replace structural header and byte-count quorum checks (C01).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Replace structural header and byte-count quorum checks (C01).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT33,Production EVM receipt proof route,Cross-chain,Production EVM receipt proof route,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,crates/x3-verification-router/src/evm_receipt.rs:737,crates/x3-verification-router/src/evm_receipt.rs:737,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Trusted receipts root and canonical inclusion/receipt-value binding (H02).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Trusted receipts root and canonical inclusion/receipt-value binding (H02).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT34,Solana finalized proof route,Cross-chain,Solana finalized proof route,Required to make the advertised protocol or operator path dependable.,PLACEHOLDER,0,1,0,0,0,20,crates/x3-verification-router/src/lib.rs:355,crates/x3-verification-router/src/lib.rs:355,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Replace nonempty check with authenticated finality and event proofs (H01).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Replace nonempty check with authenticated finality and event proofs (H01).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT35,Validator quorum proof route,Cross-chain,Validator quorum proof route,Required to make the advertised protocol or operator path dependable.,PLACEHOLDER,0,1,0,0,0,20,crates/x3-verification-router/src/lib.rs:323,crates/x3-verification-router/src/lib.rs:323,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Verify distinct authorized signatures over exact envelope (H01).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Verify distinct authorized signatures over exact envelope (H01).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT36,Bitcoin SPV route,Cross-chain,Bitcoin SPV route,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,crates/x3-verification-router/src/lib.rs:545,crates/x3-verification-router/src/lib.rs:545,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,"Verify best-work chain, correct confirmation height and locked output (H03).","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Verify best-work chain, correct confirmation height and locked output (H03).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT37,Bitcoin vault approvals,Cross-chain,Bitcoin vault approvals,Required to make the advertised protocol or operator path dependable.,PLACEHOLDER,0,0,0,0,0,0,crates/x3-bitcoin-vault/src/lib.rs:324,crates/x3-bitcoin-vault/src/lib.rs:324,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Replace call-count progression and unverified signatures (H03).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Replace call-count progression and unverified signatures (H03).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT38,Relayer binary delivery,Cross-chain,Relayer binary delivery,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,crates/x3-relayer/src/main.rs:1442,crates/x3-relayer/src/main.rs:1442,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Persist retries/cursors and prove finalized proof submission (H09/H10).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Persist retries/cursors and prove finalized proof submission (H09/H10).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT39,Relayer typed submission library,Cross-chain,Relayer typed submission library,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,crates/x3-relayer/src/submitter.rs:568,crates/x3-relayer/src/submitter.rs:568,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Use correct metadata/custody/signed-extension serialization (H09).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Use correct metadata/custody/signed-extension serialization (H09).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT40,EVM HTLC contract,Cross-chain,EVM HTLC contract,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,0,0,0,0,20,X3-contracts/evm/contracts/AtlasHTLC.sol:99,X3-contracts/evm/contracts/AtlasHTLC.sol:99,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Run claim/refund/expiry/reentrancy and nonstandard-token accounting tests.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Run claim/refund/expiry/reentrancy and nonstandard-token accounting tests.",forge test --root X3-contracts/evm,L (ordinal estimate; not a delivery promise),P1
FT41,SVM HTLC contract,Cross-chain,SVM HTLC contract,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,0,0,0,0,20,X3-contracts/svm/programs/x3_htlc/src/lib.rs:1,X3-contracts/svm/programs/x3_htlc/src/lib.rs:1,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Compile Anchor program and prove local validator claim/refund parity.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Compile Anchor program and prove local validator claim/refund parity.",anchor test,L (ordinal estimate; not a delivery promise),P1
FT42,External EVM proof verifier contract,Cross-chain,External EVM proof verifier contract,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,0,0,0,0,0,X3-contracts/evm/contracts/EvmReceiptVerifier.sol:205,X3-contracts/evm/contracts/EvmReceiptVerifier.sol:205,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Implement actual signature verification without mode bypass (H17).,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Implement actual signature verification without mode bypass (H17).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT43,Solver marketplace and intent routing,Cross-chain,Solver marketplace and intent routing,Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,0,0,0,0,20,crates/x3-intent/Cargo.toml:1; pallets/atomic-trade-engine/src/lib.rs:1,crates/x3-intent/Cargo.toml:1,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,Trace signed intent to competing solver selection and bonded settlement.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Trace signed intent to competing solver selection and bonded settlement.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT44,Validator attestation / proof ledger,Cross-chain,Validator attestation / proof ledger,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,crates/x3-validator-attestation/src/lib.rs:1; pallets/x3-atomic-kernel/src/lib.rs:1416,crates/x3-validator-attestation/src/lib.rs:1,No passing production-path evidence in this audit,Safety critical,H18 build closure; relevant finding dependencies,"Bind signer set, execution evidence and finality to authenticated runtime state.","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Bind signer set, execution evidence and finality to authenticated runtime state.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT45,REST/GraphQL gateway,Operations,REST/GraphQL gateway,Required to make the advertised protocol or operator path dependable.,DISCONNECTED,0,0,0,0,0,0,crates/x3-gateway/src/main.rs:1,crates/x3-gateway/src/main.rs:1,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,"Wire executable configuration, DB/router/HTTP server (H11).","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Wire executable configuration, DB/router/HTTP server (H11).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT46,SQL indexer and migrations,Operations,SQL indexer and migrations,Required to make the advertised protocol or operator path dependable.,DISCONNECTED,1,0,0,0,0,20,crates/x3-gateway/src/db.rs:1,crates/x3-gateway/src/db.rs:1,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Activate indexer and migrate disposable DB end to end; gateway modules not compiled.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Activate indexer and migrate disposable DB end to end; gateway modules not compiled.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT47,Metrics / chain health monitoring,Observability,Metrics / chain health monitoring,Required to make the advertised protocol or operator path dependable.,PARTIAL,0,1,0,0,0,20,node/src/metrics.rs:1; crates/x3-gateway/src/rest.rs:248,node/src/metrics.rs:1,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,"Measure dependency health, finality lag and sink delivery (M03).","Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Measure dependency health, finality lag and sink delivery (M03).",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT48,Security and accounting event consumers,Observability,Security and accounting event consumers,Required to make the advertised protocol or operator path dependable.,DISCONNECTED,0,0,0,0,0,0,runtime/src/lib.rs:11,runtime/src/lib.rs:11,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Implement durable consumer wiring; logs explicitly report dropped events.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Implement durable consumer wiring; logs explicitly report dropped events.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
FT49,"DEX, Forge and LP locker",Governance,"DEX, Forge and LP locker",Required to make the advertised protocol or operator path dependable.,IMPLEMENTED BUT UNVERIFIED,1,1,0,0,0,40,pallets/x3-dex/src/lib.rs:1; pallets/x3-token-factory/src/lib.rs:1; pallets/x3-lp-locker/src/lib.rs:1,pallets/x3-dex/src/lib.rs:1,No passing production-path evidence in this audit,Operational integrity,H18 build closure; relevant finding dependencies,Verify swaps/mints/locks/fees and EconomicHalt under full runtime.,"Implemented, wired, adversarially tested, executed through the stated entrypoint and reproducible at the frozen source state; Verify swaps/mints/locks/fees and EconomicHalt under full runtime.",cargo test --workspace,L (ordinal estimate; not a delivery promise),P1
