feature,subsystem,claimed_behavior,status,completion_pct,evidence_quality,evidence,test_coverage,security_significance,missing_work
Aura/GRANDPA signature schemes,Cryptography,Real sr25519/ed25519,VERIFIED,100,Confirmed by static inspection,stock Substrate crates,Framework-tested upstream,Critical,None
Bridge/settlement signature verification,Cryptography,Real crypto verification,VERIFIED,95,Confirmed by static inspection,runtime/src/lib.rs:1257-1280 sp_io::crypto host calls,Not independently executed,Critical,None
x3-wallet TransactionSigner.verify_signature,Cryptography,Wallet tx signature verification,PLACEHOLDER,0,Confirmed by static inspection,crates/x3-wallet/src/transaction_signer.rs:150-158 always errors,Own unit tests only,Medium (unreachable from runtime),Delete or wire real crypto if ever used
x3-mobile-sdk signature verification,Cryptography,Mobile wallet signing,IMPLEMENTED,90,Confirmed by static inspection,real ed25519_zebra/k256 usage; unconsumed by any app,Has unit tests,Low (orphaned),Wire to a real app or remove
quantum-crypto Kyber/Dilithium,Cryptography,Post-quantum KEM/signatures,PLACEHOLDER,10,Confirmed by static inspection,crates/quantum-crypto/src/kyber.rs:228-238 hash-based fake,None meaningful,High (misleading naming),Real PQC library or rename (HIGH-CK-2)
VRF randomness,Cryptography,Verifiable random function,PLACEHOLDER,25,Confirmed by static inspection,crates/x3-vrf/src/lib.rs:95-160 no real provider; fails closed,Mock-only tests,Medium,Real VRF construction (INFO-CK-3)
SVM syscalls (sha256/keccak256),Cryptography/VM,Real cryptographic syscalls,VERIFIED,100,Confirmed by static inspection,crates/svm-integration/src/syscalls.rs:7-123 real sha2/sha3,n/a,High,None - historical bug genuinely fixed
solana_rbpf SVM interpreter,VM,Real BPF bytecode execution,VERIFIED,80,Confirmed by execution (cargo audit),real crates.io dep; RUSTSEC-2026-0191 unsound, allow-listed not fixed,n/a,High,Upgrade or compensate for advisory
Cross-VM router 6-route matrix,Cross-chain,Atomic internal routing,IMPLEMENTED BUT UNVERIFIED,75,Confirmed by static inspection,pallets/x3-cross-vm-router/src/lib.rs,Named tests exist, not re-run this session,Critical,Re-run pallet test suite live
EVM receipt Merkle-Patricia verification,Cross-chain,Real light-client-style proof check,VERIFIED,85,Confirmed by static inspection,crates/x3-verification-router/src/evm_receipt.rs:272-310 real RLP+keccak256 hash chain,Not re-executed,Critical,None (real math, root-of-trust caveat below)
Bridge root registration proof check,Cross-chain,Independent root verification,PARTIAL,15,Confirmed by static inspection,pallets/x3-cross-vm-router/src/lib.rs:696 only checks non-empty,n/a,Critical,Real SPV/consensus verification (MEDIUM-VM-4)
ExternalBridgesEnabled genesis kill-switch,Cross-chain/Governance,All bridges inert at genesis,VERIFIED,100,Confirmed by static inspection,pallets/x3-cross-vm-router/src/lib.rs:259/681/733/786-787 real enforced flag + auto-disable circuit breaker,Real dispatch guards,Critical,None
EVM contract test suite,Smart contracts,Foundry test coverage,VERIFIED,100,Confirmed by execution,forge test: 169 passed 0 failed 0 skipped,169 tests / 12 suites,High,None
Treasury.sol access control,Smart contracts,Owner-gated fee routing,VERIFIED (code) / PARTIAL (docs accuracy),70,Confirmed by static inspection + git log,X3-contracts/evm/contracts/treasury/Treasury.sol:40 onlyOwner (docs claim otherwise),TreasuryTest 12/12 passing,High,Deploy owner as Safe multisig; fix doc wording (LOW-VM-3)
X3ExternalGateway.sol reentrancy protection,Smart contracts,Reentrancy-safe deposit/withdraw,PARTIAL,70,Confirmed by static inspection,no ReentrancyGuard inherited; mitigated by SafeERC20+allowlist,X3ExternalGatewayTest 10/10 passing,Medium,Add nonReentrant (MEDIUM-VM-2)
SVM program test coverage,Smart contracts,Rust+TS test coverage for Solana programs,PARTIAL,75,Confirmed by static inspection,74 inline #[test] across 5/6 programs + 11 TS integration cases; x3_htlc has 0,Uneven - x3_htlc untested,Critical,Test x3_htlc (HIGH-VM-1)
x3-lang JIT / cranelift backend,VM,Real JIT compilation,MISSING (accurately documented),0,Confirmed by static inspection,crates/x3-compiler/Cargo.toml has no cranelift/llvm dep; zero JIT references in source,n/a,Low (correctly not claimed as active),Build real JIT if x3-lang Rust path is ever promoted
LP Locker anti-rug lock,Tokenomics,On-chain time-locked LP tokens,VERIFIED,95,Confirmed by static inspection,pallets/x3-lp-locker/src/lib.rs:214-233 real block-height gate,Not re-run this session,High,Re-run pallet tests live
DEX/AMM swap guardrails,Tokenomics,Slippage protection + safe arithmetic,VERIFIED,85,Confirmed by static inspection,pallets/x3-dex/src/lib.rs:258-298 real min_out + saturating arithmetic,Not re-run this session,High,Trace AMMPool::swap_calculate rounding direction
Atomic-kernel EconomicHalt required_tests,Tokenomics/Proof gates,9 named invariant tests backing an 85% score,PLACEHOLDER (evidence fabricated),20,Confirmed by static inspection (absence),FEATURE_REGISTRY.toml [atomic_kernel]; zero matching tests found repo-wide,None of the cited names exist,Critical,Write real tests or correct registry (CRITICAL-TOK-1)
Reconciliation-triggered mint halt,Tokenomics,Divergence-triggered halt with governance lift,IMPLEMENTED BUT UNVERIFIED,75,Confirmed by static inspection,pallets/x3-reconciliation/src/tests.rs:174-510 real distinct tests,Named tests present, not re-executed,High,Re-run pallet tests live
Validator/delegator staking & rewards,Tokenomics,Stake/delegate/reward token holders,MISSING,0,Confirmed by static inspection (absence),no pallet_staking anywhere in runtime,n/a,High,Deferred to M3 per repo's own docs
Gateway /health endpoint,APIs,Genuine dependency health check,PLACEHOLDER,10,Confirmed by static inspection,crates/x3-gateway/src/rest.rs:248-250 unconditional 200 OK,None,Medium,Wire real db.healthy() check (HIGH-API-1)
Per-feature health endpoints,APIs,Dedicated health paths per pallet,MISSING,0,Confirmed by static inspection (absence),FEATURE_REGISTRY.toml claims paths that do not exist,n/a,Low,Build or remove the claim
x3-transparency portal data,Frontends,Real chain-derived transparency data,VERIFIED,90,Confirmed by static inspection,apps/x3-transparency/public/data/portal.json - genuinely generated, matches audited commit,n/a,Low,None
apps/wallet real signing,Frontends,Real transaction construction/signing,BLOCKED,0,Not verified this session,no signAndSend/Keyring found in app's own src within time available,Unknown,Unknown,Dedicated follow-up trace needed
CI critical-path-all-pass gate,Ops/Proof gates,Merge-blocking aggregate of all critical checks,VERIFIED,100,Confirmed by static inspection,.github/workflows/ci.yml:611-680 - 20 jobs (more than README's claimed 9),n/a,Critical,Correct README's undercount
Mainnet release gate script,Ops/Proof gates,Exit 0=pass 1=fail no bypass,VERIFIED,95,Confirmed by static inspection,scripts/mainnet_release_gate.py - no bypass flag found; enforced in CI,n/a,Critical,None
Readiness-registry consistency checker,Ops/Proof gates,Keeps FEATURE_REGISTRY.toml honest,PARTIAL,50,Confirmed by static inspection,scripts/check-readiness-consistency.sh checks paths+scores only,n/a,Critical,Add required_tests existence check (see CRITICAL-TOK-1)
srtool reproducible build,Ops,Deterministic pinned WASM build,PARTIAL,80,Confirmed by static inspection,scripts/run-srtool.sh:30 pinned by tag not digest,n/a,Medium,Pin by sha256 digest (MEDIUM-DO-1)
Secrets hygiene (git history),Ops/Security,No real secrets in repo,PLACEHOLDER (remediation incomplete),30,Confirmed by execution (git log --all),validator seeds + Sepolia key still in history,n/a,Critical,History rewrite + key rotation (CRITICAL-CK-1)
TPS benchmark (110.6 finTPS),Performance,Sustained throughput measurement,IMPLEMENTED BUT UNVERIFIED,60,Claimed by documentation with shown derivation,TESTNET_VERIFICATION.md:99 - 2000 remarks / 18s, traceable,Not re-executed this session,Medium,Re-run and capture fresh session-verified numbers
