id,subsystem,feature,claimed_behavior,actual_implementation,file_line,runtime_wiring,tests,status,evidence_quality,missing_work,source_domain_file
F019,Transaction Lifecycle,"Atomic settlement engine (12-step model, rollback)",Atomic state machine with refund path,23 proptest-based invariant tests (no-partial-execution etc.),pallets/x3-settlement-engine,Wired into runtime,"RAN LIVE: 23 passed, 0 failed, exit 0",VERIFIED (property-tested),Confirmed by execution,Extend proptests to RPC/e2e boundary,tx_lifecycle.md
F020,Transaction Lifecycle,Malformed-input handling in bridge RPC,Not explicitly claimed but expected,decode_deposit_relay_payload bounds-checks fixed-width slices,node/src/rpc.rs:233,Wired,Not unit tested directly,IMPLEMENTED BUT UNVERIFIED,Confirmed by static inspection,Add fuzz/property test against decode functions,tx_lifecycle.md
F021,State/Storage,Supply ceiling invariant (represented <= canonical_supply),King invariant enforced per-op,check_invariant() with real checked-overflow arithmetic,crates/x3-asset-kernel-types/src/lib.rs:636-644,Called at 5 mutation sites plus on_finalize sweep,tests_halt.rs / tests_s0_1.rs,VERIFIED,Confirmed by static inspection,None found,state_storage.md
F022,State/Storage,On-violation policy (EconomicHalt),Halt on invariant violation,"InvariantViolationPolicy default=EventAndPause, sets TransferHalted",pallets/x3-supply-ledger/src/lib.rs:133-224,Wired to on_finalize hook,Halt-path tests in tests_halt.rs,VERIFIED,Confirmed by static inspection,Never triggered in real multi-validator network,state_storage.md
F023,State/Storage,Per-block supply sweep (on_finalize),Not explicitly claimed as cost risk,Iterates all Ledgers::iter() unconditionally every block,pallets/x3-supply-ledger/src/lib.rs:157-201,Runs every block regardless of activity,No load/stress test for high asset-count case,PARTIAL,Confirmed by static inspection,Needs bound/amortized check before mainnet (see MED-02),state_storage.md
F024,State/Storage,patches/sp-state-machine unimplemented!() (10 sites),Flagged by generic stub grep as suspicious,Stock upstream Substrate ReadOnlyExternalities/Basic; no in-workspace callers,patches/sp-state-machine/src/basic.rs and read_only.rs,"N/A - vendored dependency, no X3 callers",N/A,INFORMATIONAL,Confirmed by static inspection (no callers found),None; correctly out of scope,state_storage.md
F025,State/Storage,Storage migrations for 10 pallets,Proper migrations.rs with OnRuntimeUpgrade impl,"All 10 files only bump StorageVersion, zero schema-transformation logic","pallets (x3-kernel, treasury, agent-accounts, and 7 more)/src/migrations.rs",Presumably called from Executive migration tuple,No test exercises pre/post storage-shape change,PLACEHOLDER (mislabeled 'proper' in source doc),Confirmed by static inspection of full file contents,Needs genuine try-runtime rehearsal against a real shape change,state_storage.md
F026,State/Storage,Reproducible/deterministic build via srtool,Node boots deterministically (checksums cited as evidence),17 orphaned .sha256 files; underlying .log files do not exist; stale path; Docker not installed,launch-gates/evidence/substrate/*.sha256,Script never actually run against this commit,None,BLOCKED / UNVERIFIED (doc claims done),Not verified - could not execute (no Docker),Re-run scripts/run-srtool.sh on current commit with Docker (HIGH-05),state_storage.md
F027,State/Storage,Backup / restore (snapshot-restore.sh),"Full backup/restore/list, exit codes 0-4, refuses backup on live node",Real pgrep live-check plus real tar.gz + sha256 manifest; all exit codes present,scripts/snapshot-restore.sh:42-120,"Manual operator tool, not wired into CI",No automated restore-drill test found,VERIFIED (static),Confirmed by static inspection,No automated CI backup-restore-resync round trip,state_storage.md
F028,State/Storage,State pruning / archive mode,Not specifically claimed,No custom pruning/archive logic in X3-authored code; relies on stock sc-cli flags,node/src/*.rs and runtime/src/lib.rs,Presumed stock Substrate behavior,Not tested at X3 level,IMPLEMENTED BUT UNVERIFIED,Inferred,No X3-specific pruning/disk-growth projection,state_storage.md
F029,State/Storage,Concurrency in storage-adjacent daemons/gateway,Not specifically claimed,Only 10 total Mutex/RwLock/Arc hits across gateway+daemon crates,crates/x3-gateway and crates/x3-chain-health-daemon,Not deeply traced (time-boxed),n/a,IMPLEMENTED BUT UNVERIFIED,Inferred (shallow grep only),Dedicated race-condition pass needed,state_storage.md
F030,Cryptography/Keys,Base extrinsic replay/domain protection,Implicit Substrate mechanism,"SignedExtra=(CheckSpecVersion, CheckTxVersion, CheckGenesis, CheckNonce, ...)",runtime/src/lib.rs:850-856,Wired into UncheckedExtrinsic used by node,Standard Substrate framework tests,VERIFIED,Confirmed by static inspection,None - correct standard mechanism,crypto_keys.md
F031,Cryptography/Keys,Multisig wallet creation,Multisig wallet creation with threshold validation,create_multisig / create_multisig_wallet,pallets/x3-wallet-pallet/src/lib.rs:190-229,"call_index(1), ensure_signed",Crate-level unit tests only,VERIFIED (creation only),Confirmed by static inspection,N/A for creation,crypto_keys.md
F032,Cryptography/Keys,Multisig propose/sign/execute transaction,Implied complete by 'Multisig Wallet Engine' description,propose_transaction/sign_proposal/execute exist in crate but no pallet call invokes them,crates/x3-wallet/src/multisig_wallet.rs:83-156,NOT WIRED - no dispatchable call exists,Crate-level unit tests only (never via extrinsic),DISCONNECTED,Confirmed by static inspection (zero call sites found),Add dispatchable calls plus mock-runtime integration tests (MED-03),crypto_keys.md
F033,Cryptography/Keys,Standalone TransactionSigner multisig engine,Not directly claimed but public crate API,verify_signature() unconditionally returns Err for every input; add_signature() rubber-stamps is_valid:true,crates/x3-wallet/src/transaction_signer.rs:114-159,DISCONNECTED from runtime,"15 unit tests, incl. one codifying the broken behavior",PLACEHOLDER (dead-but-exported),Confirmed by static inspection,Delete module or implement real verification (MED-04),crypto_keys.md
F034,Cryptography/Keys,Biometric wallet unlock,Biometric registration with template/PIN hashing,register_biometric receives pre-computed hash; verify uses plain == comparison,pallets/x3-wallet-pallet/src/lib.rs:261-287,WIRED (call_index 3),Pallet + crate tests present,PARTIAL,Confirmed by static inspection,"Hash/salting happens client-side, not in repo; use constant-time compare (LOW-01)",crypto_keys.md
F035,Cryptography/Keys,Native VRF (verifiable randomness),VRF pallet for verifiable randomness,Only MockVrfProvider (blake2_256 of seed) and a hard-fail stub; no real VRF math,crates/x3-vrf/src/lib.rs:67-164,Pallet wired but mock enabled via std feature (see HIGH-03),Pallet unit tests only exercise mock path,PLACEHOLDER / MISSING,Confirmed by static inspection,Implement real VRF (e.g. schnorrkel) behind VrfProvider,crypto_keys.md
F036,Cryptography/Keys,VRF dev/mock isolation from production builds,Mock only available with cfg(test/dev),"pallet's own std feature unconditionally enables x3-vrf/dev, defeating isolation",pallets/x3-vrf/Cargo.toml,Enabled via runtime's own std feature,N/A,HIGH-03 finding - feature-gating design flaw,Confirmed by static inspection of both Cargo.toml files,Decouple dev from std; explicit opt-in feature,crypto_keys.md
F037,Cryptography/Keys,Post-quantum crypto (Dilithium/Kyber/SPHINCS+),Quantum-crypto crate present,Correct NIST parameter sizes but custom SHA3/rand-based signing rather than real lattice math,"crates/quantum-crypto/src/dilithium.rs, kyber.rs, sphincs.rs",Correctly gated off behind pq feature (off by default),Crate-only unit tests,PLACEHOLDER but properly disconnected/gated,Confirmed by static inspection,Replace with audited PQC library before ever enabling pq,crypto_keys.md
F038,Cryptography/Keys,Secret-value logging hygiene,AGENTS.md/CLAUDE.md forbid secret exposure,Standalone dev wallet-generator CLI prints private key to stdout once by necessity,crates/x3-atomic-swap/src/bin/gen_wallet.rs:29-37,"Standalone dev-tooling binary, not part of node/runtime",None,Acceptable for stated purpose; medium operational risk if captured in logs,Confirmed by static inspection,Add explicit DEV ONLY banner; never invoke in CI,crypto_keys.md
F039,Cryptography/Keys,Validator dev-key insertion path logging,N/A,Logs event message but not the seed value itself,node/src/service.rs:359,Gated behind X3_DEV_SEED / --dev,N/A,VERIFIED (safe),Confirmed by static inspection,None found,crypto_keys.md
F040,Contracts/VM/Cross-Chain,Treasury.sol fee routing,routeFee is callable by anyone (per repo's own TREASURY_POLICY.md),routeFee is external onlyOwner nonReentrant - the doc claim is factually wrong,X3-contracts/evm/contracts/treasury/Treasury.sol:40,"Owner-gated, not public",12 forge tests pass (Treasury.t.sol),PARTIAL / DOC-INACCURATE,Confirmed by inspection,Correct the doc claim (MED-06); real risk is single EOA owner not Safe multisig (MED-07),contracts_vm_crosschain.md
F041,Contracts/VM/Cross-Chain,X3ExternalGateway access control,"Audit-ready design, not active (per LAUNCH_SCOPE.md)",is Ownable; whenNotPaused modifier; setPaused/setVerifier onlyOwner,X3-contracts/evm/contracts/X3ExternalGateway.sol:13,Not called from any active RC-1 runtime path,10 forge tests pass,IMPLEMENTED BUT UNVERIFIED for prod use; DISCONNECTED from live runtime,Confirmed by inspection,Single-owner Ownable must be paired with a Safe at deploy time,contracts_vm_crosschain.md
F042,Contracts/VM/Cross-Chain,X3KernelBridge access control,N/A,is AccessControl; onlyRole(KERNEL_ROLE) gates registration functions,X3-contracts/evm/contracts/X3KernelBridge.sol:9-89,"Role-based pattern, more robust than Ownable",20 forge tests pass,IMPLEMENTED BUT UNVERIFIED,Confirmed by inspection,Who holds KERNEL_ROLE at deploy time not verified,contracts_vm_crosschain.md
F043,Contracts/VM/Cross-Chain,AtlasHTLC.sol,HTLC atomicity core primitive,is ReentrancyGuard; nonReentrant on claim/refund; CEI-safe pattern,X3-contracts/evm/contracts/AtlasHTLC.sol:21-195,Wired standalone HTLC contract,20 forge tests pass,IMPLEMENTED (correct reentrancy pattern),Confirmed by inspection,No formal verification run this session (Certora config exists but not executed),contracts_vm_crosschain.md
F044,Contracts/VM/Cross-Chain,SVM programs (6 Anchor programs),No .rs test files in x3_kernel_bridge (per MASTER_CHECKLIST),Confirmed and broader than stated: entire svm/programs tree has zero Rust tests,X3-contracts/svm/programs/*,All 6 share one shallow TS integration test file,"173-line TS file, happy-path-only smoke tests",PARTIAL,Confirmed by inspection,Real Anchor test suite per program needed (MED-08),contracts_vm_crosschain.md
F045,Contracts/VM/Cross-Chain,ExternalBridgesEnabled gate,"External bridges DISABLED at genesis, governance-gated",StorageValue defaults false; checked at dispatch; auto-flips to false on invariant break (circuit breaker),pallets/x3-cross-vm-router/src/lib.rs:259-787,Genuinely enforced at dispatch gate,6 tests assert both enabled/disabled states,VERIFIED (real runtime gate),Confirmed by inspection plus existing tests,None - one of the better-engineered controls,contracts_vm_crosschain.md
F046,Contracts/VM/Cross-Chain,mainnet-rc1 vs experimental-feature compile guards,LAUNCH_SCOPE.md claims compile_error! guards,3 real compile_error! blocks for mainnet-rc1 plus external-gateway/parallel-executor/appzone-factory,pallets/x3-cross-vm-router/src/lib.rs:55-70,Compile-time enforced,N/A (compile-time),VERIFIED,Confirmed by inspection,"Only guards the combination, not shipping a feature alone without mainnet-rc1",contracts_vm_crosschain.md
F047,Contracts/VM/Cross-Chain,PoAE (Proof of Atomic Execution),Docs imply on-chain cryptographic atomicity proof,"Runtime-generated on-chain audit artifact from state-transition bookkeeping, not a SNARK/STARK",pallets/x3-atomic-kernel/src/lib.rs,Genuinely atomic within single X3 runtime STF (real Substrate transactional storage),Covered by kernel's economic-halt test suite,PARTIAL / NAMING IS MISLEADING,Confirmed by inspection,Rename to avoid implying independent cryptographic verifiability (LOW-04),contracts_vm_crosschain.md
F048,Contracts/VM/Cross-Chain,Cross-chain (EVM to X3) bridge relay atomicity,Not a production/non-local proof-validation profile (per FAILURES_AND_TODOS.md),Proof envelope signed with hardcoded dev key //Alice fallback,crates/x3-relayer/src/main.rs:1131-1567,Runtime accepts as normal LockProof,e2e script exercises path and asserts balance deltas,PLACEHOLDER for production trust / VERIFIED for local-devnet-only,Confirmed by inspection,Not atomic in any trust-minimized cross-chain sense today (HIGH-04),contracts_vm_crosschain.md
F049,Contracts/VM/Cross-Chain,x3-lang JIT / compiler backend,Rust compiler experimental; JIT is test-only mock,Zero occurrences of cranelift/llvm/inkwell in either crate manifest,crates/x3-compiler/Cargo.toml and crates/x3-vm/Cargo.toml,No real JIT exists; execution is interpreted only,None,PLACEHOLDER (JIT claim is aspirational only for Rust track),Confirmed by inspection,Python pipeline is the actual authoritative implementation (LOW-05),contracts_vm_crosschain.md
F050,Tokenomics,Canonical supply invariant (represented <= canonical_supply),Enforced per-op,check_invariant() called at 5 mutation sites plus redundant on_finalize sweep across all assets,pallets/x3-supply-ledger/src/lib.rs:363-699,"Registry=X3AssetRegistry, SupplyGovernance=EnsureRootOrHalfCouncil",33/33 pass incl. fuzz test fuzz_all_operations_preserve_invariant,VERIFIED,Confirmed by execution plus static read,None critical,tokenomics.md
F051,Tokenomics,on_finalize O(n) asset iteration,Flagged as potential stall risk,Ledgers::iter() unconditional full scan every block; bounded by MaxAssets=100,pallets/x3-supply-ledger/src/lib.rs:163,Bounded via TotalAssets<MaxAssets gate,n/a,PARTIAL - bounded today,Confirmed by static inspection,No benchmarked on_finalize weight (MED-02),tokenomics.md
F052,Tokenomics,Validator staking/bonding/nominate,"NOT implemented, deferred to M3 (per MASTER_CHECKLIST_STATUS.md)",Confirmed: no pallet_staking anywhere; real slashing bookkeeping via ValidatorStake map instead,pallets/x3-consensus/src/lib.rs:380-418,Wired into Session/Aura/Grandpa,Not independently re-run this pass,PARTIAL / MATCHES CLAIM (claim is accurate),Confirmed by static inspection,Permissionless bonding/unbonding/nominate; inflation/reward distribution,tokenomics.md
F053,Tokenomics,Treasury / LP anti-rug time-lock,"Full lib, mock, and tests","Real block-number lock: unlock_at_block enforced via ensure! before removing record, not a boolean flag",pallets/x3-lp-locker/src/lib.rs:113-222,Standalone pallet referenced in runtime,19/19 pass incl. unlock_lp_rejects_before_expiry,VERIFIED,Confirmed by execution,None found,tokenomics.md
F054,Tokenomics,Wallet mint_tokens authorization,ensure_minter + checked_add overflow protection,Matches claim exactly,pallets/x3-wallet-pallet/src/lib.rs:317-330,Wired,Not re-run this pass (prior BUILD_VERIFICATION_REPORT),VERIFIED (claim matches code),Confirmed by static inspection,None,tokenomics.md
F055,Tokenomics,Wallet transfer_tokens arithmetic,N/A (no doc claim),Sender side checked with ensure! before subtraction; receiver-side credit uses raw + not checked_add,pallets/x3-wallet-pallet/src/lib.rs:239-249,Wired,Not covered by a dedicated overflow test,PARTIAL,Confirmed by static inspection,Add checked_add plus Overflow error (LOW-02),tokenomics.md
F056,Tokenomics,x3-DEX constant-product swap / AMM math,6-route matrix invariants (router); fee + slippage protection (DEX),"ALL pool math (swap pricing, LP mint/burn shares) implemented using f64 floating-point, 13 as-f64 conversions",crates/x3-dex/src/amm_pools.rs:117-339,Wired into pallet-x3-dex::swap,"14/14 pallet tests pass but only self-consistency, not integer-reference or determinism",PLACEHOLDER-GRADE ARITHMETIC in claimed-production DEX,Confirmed by static inspection plus passing but non-adversarial tests,Replace with integer/fixed-point arithmetic (HIGH-02),tokenomics.md
F057,API/Ops/ProofGates/Perf,x3_submitCrossVmTransaction RPC,Real relayer ingress for bridge deposits,module.register_method on live RpcModule returned by create_full,node/src/rpc.rs:960-1050,Wired - registered on live module,Referenced in e2e Anvil test,VERIFIED (wiring) / IMPLEMENTED BUT UNVERIFIED (execution),Confirmed by static inspection,Production proof-validation profile still dev-authority-signed,api_ops_proofgates_perf.md
F058,API/Ops/ProofGates/Perf,crossVm_getRecentTransfers RPC,Query recent cross-VM transfers,module.register_method,node/src/rpc.rs:1139,Wired,Not independently run,IMPLEMENTED BUT UNVERIFIED,Confirmed by static inspection,Runtime execution not verified this session,api_ops_proofgates_perf.md
F059,API/Ops/ProofGates/Perf,Per-feature health endpoints (/health/atomic-kernel etc.),Cited as evidence for readiness scores in FEATURE_REGISTRY.toml,Not found anywhere in the codebase - zero hits outside FEATURE_REGISTRY.toml itself,FEATURE_REGISTRY.toml,DISCONNECTED / fabricated evidence field,None,PLACEHOLDER,Not verified by static or runtime inspection,Implement for real or remove the health_endpoint field (HIGH-06),api_ops_proofgates_perf.md
F060,API/Ops/ProofGates/Perf,Generic /health liveness routes (multiple services),N/A,Hardcoded 200/OK in gateway/sidecar/bot; only indexer and analytics have a real /ready check,crates/x3-gateway/src/rest.rs:248 and apps/analytics/.../handlers.rs:17-23,Wired but liveness-only in most services,n/a,PARTIAL (real code but health != dependency health in most),Confirmed by static inspection,Add /ready with real dependency check to gateway/sidecar/bot (MED-09/MED-10),api_ops_proofgates_perf.md
F061,API/Ops/ProofGates/Perf,apps/wallet chain connectivity,Wallet signs/submits real transactions,"Real deps present: @polkadot/api, ethers",apps/wallet/package.json,Dependencies present (not traced to call sites this session),n/a,IMPLEMENTED BUT UNVERIFIED,Confirmed by static inspection (deps only),Trace signing code path to confirm no mock shortcut,api_ops_proofgates_perf.md
F062,API/Ops/ProofGates/Perf,scripts/mock-rpc-server.js,"README explicitly labels DEV ONLY, produces fake blocks",File exists and is correctly labeled,scripts/mock-rpc-server.js,Not wired into any testnet/mainnet launch script,n/a,Correctly-scoped PLACEHOLDER (self-declared),Confirmed by static inspection,None - example of the right way to isolate a mock,api_ops_proofgates_perf.md
F063,API/Ops/ProofGates/Perf,scripts/check-readiness-consistency.sh,Fails CI when docs contradict FEATURE_REGISTRY.toml,"Real comparison logic: extracts readiness_score/mode, cross-checks path existence",scripts/check-readiness-consistency.sh,Wired into .github/workflows/mainnet-readiness.yml,"Script has real logic, not a stub",VERIFIED,Confirmed by static inspection,None major,api_ops_proofgates_perf.md
F064,API/Ops/ProofGates/Perf,scripts/mainnet_release_gate.py (make mainnet-check),"Real launch-critical validation, exit 1 = do not release","253 lines; checks docs, builds node/WASM, validates chain-spec, runs 6 named test suites, requires srtool+docker, regexes for hardcoded secrets",scripts/mainnet_release_gate.py,"main() returns 1 on any failure, SystemExit",n/a (it is the test),VERIFIED - real fail-closed gate,Confirmed by static inspection,One of the stronger artifacts in the repo,api_ops_proofgates_perf.md
F065,API/Ops/ProofGates/Perf,CI aggregate gate (x3 / critical-path-all-pass),9 worker jobs + 1 aggregate (per README),20 gate jobs feed the aggregate; if:always() paired with explicit needs.*.result check - correctly fail-closed,github/workflows/ci.yml:611-679,Required branch-protection status check,20 jobs verified,VERIFIED (not a bypass),Confirmed by static inspection,README undercounts job total (LOW-07),api_ops_proofgates_perf.md
F066,API/Ops/ProofGates/Perf,110.6 finTPS performance claim,Genuine sustained result (per TESTNET_VERIFICATION.md),"Traced to concrete inputs: 2000 remarks, 0 lost, 18s wall time, loopback single-host",TESTNET_VERIFICATION.md:99,n/a,n/a,VERIFIED as a real measured number (loopback-only scope),Claimed by documentation with concrete supporting inputs,Not a cross-host/production-network result (INFO-04),api_ops_proofgates_perf.md
