ref	kind	state	detail
refs/heads/ci/consolidate-workflows-20260910	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/cross-domain-gates	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/dedupe-live-triggers	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/foundry-crate-test-gate-110	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/harden-self-hosted-jobs	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/local-ci-improvements	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/local-ci-known-red	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/local-ci-make-targets	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/local-ci-of-record	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/local-ci-pytest-gate	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/local-ci-release-gate	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/local-ci-runtime-variants	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/local-ci-slug-case	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/local-network-smoke	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/master-lineage-gates-20260908	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/path-filter-heavy-gates-20260910	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/production-gate-dispatch	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/route-live-gates-to-local-runner	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/route-more-workflows-self-hosted	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/runtime-hash-freshness	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/shared-cargo-target	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/stop-hosted-dead-triggers	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/svm-gate-rustup-shim	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/workflow-audit	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/ci/x3-local-runner-smoke	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/codex/chatgpt-mainnet-work	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/codex/x3-economic-safety-kernel	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/codex/x3-trading-core-v1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/codex/x3-trading-core-v1-hardening	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/ark-ec-0.6.0	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/ark-ff-0.6.0	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/ark-std-0.6.0	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/frame-benchmarking-cli-54f11b1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/frame-support-54f11b1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/hex-literal-1.1.0	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/libloading-0.9.0	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/minicbor-2.3.0	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/pallet-scheduler-54f11b1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/pallet-staking-54f11b1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/pallet-sudo-54f11b1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/redis-1.7.0	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/sc-basic-authorship-54f11b1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/sc-cli-54f11b1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/sc-consensus-aura-54f11b1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/sc-rpc-54f11b1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/sc-rpc-api-54f11b1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/sp-keystore-54f11b1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/cargo/sp-version-54f11b1	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/dependabot/pip/psycopg2-binary-gte-2.9.13	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/deps-batch-test	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/deps-mod-test	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/deps-mod-test-v2	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/deps/batch-low-risk	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/design/x3lang-root-compiler-bridge	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/atomic-kernel-auth-finding	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/btc-pow-evidence	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/evidence-and-memory-20260922	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/full-branch-reconciliation-20260922	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/gpu-claims-hygiene	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/grant-readiness-truth-20260908	local-branch	UNRELATED_LINEAGE	shares no history with master; preserved, must not be deleted
refs/heads/docs/local-branch-triage	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/local-ci-green	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/local-ci-verification-discipline	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/matrix-provenance	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/matrix-third-pass	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/merge-queue-production-gate-lean	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/merge-queue-production-gate-prereq-verified	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/release-gate-229d08caa	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/runtime-rehearsal-fidelity-note	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/soak-2h-verdict	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/soak-memory-rule	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/soak-nocache-verdict	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/soak2h-failure-record	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/ticket101-first-pass	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/ticket101-second-pass	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/docs/tmp-cause-reboot	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/econsafety-kernel	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/arbitrum-message-decoding	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/arbitrum-send-message	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/base-message-decoding	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/base-send-message	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/btc-checkpoint-anchor	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/btc-genesis-checkpoints	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/btc-header-batch	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/btc-regtest-live	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/btc-relayer-loop	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/canonical-cross-domain-proof-bundle-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/canonical-cross-domain-proof-bundle-20260911-pre-rebase-20260917	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/concurrent-coordinator-serialization-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/consensus-soak	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/coordinator-attempt-ledger-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/coordinator-proof-vault-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/deterministic-recovery-reconciler-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/distributed-durable-fencing-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/evm-receipt-proofs	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/idempotent-cross-domain-coordinator-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/idempotent-cross-domain-coordinator-20260911-pre-rebase-20260917	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/live-feature-matrix-20260912	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/live-secret-release-firewall-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/proof-bound-coordinator-settlement-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/provider-endpoint-drill	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/public-launch-kit	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/release-gate-runtime-rehearsal	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/runtime-signer-library-and-strict-svm-gate	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/secret-release-firewall-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/session-runtime-intent-binding-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/session-sharded-leases-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/settlement-chain-reconciliation-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/settlement-proof-adapter	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/settlement-proof-producer	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/settlement-proofset-gate-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/settlement-submission-envelope-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/settlement-submission-outbox-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/solana-attestation-verifier	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/svm-validator-set-wiring	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/testnet-ceremony-record	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/trading-core-bridge-integration	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/trading-core-v1-hardening-part2	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/trading-core-v1-registry	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/validator-key-rotation-e2e	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/validator-key-rotation-takeover	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/validator-register-command	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/valkey-redis-fencing-backend-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/x3-btc-live-reexport	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/x3-lang-crosschain-integration-20260909	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/x3-mcp-server	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/x3-settlement-reconciliation-rpc-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/x3lang-effects-guarantees	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/x3lang-guards-and-build-verification	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/x3lang-host-measurement-semantics	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/x3lang-measured-guards	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/x3lang-measured-quantities	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/x3lang-readiness-audit-score	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/x3lang-receipt-verify-trusted	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/feat/x3vm-durable-recovery-20260911	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/finish/x3vm-live-transport	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/finish/x3vm-live-transport-fix	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix-x3lang-python	local-branch	UNRELATED_LINEAGE	shares no history with master; preserved, must not be deleted
refs/heads/fix/agent-guard-bip39-2x	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/agent-guard-bip39-allow	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/agent-guard-path-separator	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/agent-law-real-policy-and-live-tests	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/archival-salvage-broken-chain-ids	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/atomic-finalization-tests	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/atomic-kernel-bond-accounting	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/bitcoin-spv-policy-claim	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/bridge-evm-transfer-content-verification	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/bridge-message-binding	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/btc-genesis-fmt-clippy	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/btc-mtp-fmt	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/btc-mtp-not-stricter	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/btc-pow-wire-header	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/btc-spv-agreement	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/btc-vault-honest-deposit-path	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/build-rs-ptr-arg	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/chain-emitters-and-refusals	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/chronos-mempool-connections-refuse	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/control-plane-vote-window-validation	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/coordinator-durable-authority-shared-store	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/coordinator-gate-offline	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/coordinator-settlement-outbox-partial-move	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/custody-authorization-required	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/dep-bumps-from-deps-mod-test	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/dev-variant-runtime-tests	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/do-not-cancel-master-gates	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/e2e-safety-tests	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/embedded-runtime-variant-guard	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/evm-header-anchor	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/evm-lifecycle-honour-target-dir	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/evm-live-foundry-anvil-collision	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/evm-signature-minimal-rlp	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/external-chains-honest-adapters	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/finality-certificate-trust	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/flash-finality-verified-proposal	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/forge-deps-idempotent	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/foundry-core-creator-fee-remainder	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/foundry-deploy-is-simulated	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/foundry-real-evm-deploy	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/gateway-attestation-signatures	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/gateway-attested-path	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/gateway-origin-registry	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/gateway-uri-default	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/gateway-withdrawal-id-hash	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/governance-approval-tracking	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/invariant-registry-gate	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/js-sdk-test-gate	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/kernel-authority-bounds	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/live-seven-validator-testnet	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/live-x3vm-lifecycle-gate	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/local-ci-svm-gate-shim	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/loom-concurrency-gate	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/loom-runner-rustup	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/master-trading-core-compile-break	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/matrix-evidence-prose	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/mobile-sdk-security-claims	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/mock-adapter-gating-and-workspace-membership	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/multi-validator-launcher	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/nested-sidecar-lock	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/nested-wasmtime-sandbox-escape	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/no-fabricated-proof-grade	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/node-inspect-and-chain-smoke	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/orchestra-crate-root	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/pallet-x3-control-member	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/panic-scan-build-targets	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/panic-scan-test-files	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/private-mempool-real-shamir-threshold	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/private-mempool-threshold-crypto	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
refs/heads/fix/production-gate-prerequisites	local-branch	ON_MASTER	commits reachable from master (verified: git merge-base --is-ancestor)
